NODE 591 591, DISTANCE: -1
NODE 592 592, DISTANCE: -1
NODE 593 593, DISTANCE: -1
NODE 594 594, DISTANCE: -1
NODE 595 595, DISTANCE: -1
NODE 596 596, DISTANCE: -1
NODE 597 597, DISTANCE: -1
NODE 598 598, DISTANCE: -1
NODE 599 599, DISTANCE: -1
NODE 600 600, DISTANCE: -1
NODE 601 601, DISTANCE: -1
NODE 602 602, DISTANCE: -1
NODE 603 603, DISTANCE: -1
NODE 604 604, DISTANCE: -1
NODE 605 605, DISTANCE: -1
NODE 606 606, DISTANCE: -1
NODE 607 607, DISTANCE: -1
NODE 608 608, DISTANCE: -1
NODE 609 609, DISTANCE: -1
NODE 610 610, DISTANCE: -1
NODE 611 611, DISTANCE: -1
NODE 612 612, DISTANCE: -1
NODE 613 613, DISTANCE: -1
NODE 614 614, DISTANCE: -1
NODE 615 615, DISTANCE: -1
NODE 616 616, DISTANCE: -1
NODE 617 617, DISTANCE: -1
NODE 618 618, DISTANCE: -1
NODE 619 619, DISTANCE: -1
NODE 620 620, DISTANCE: -1
NODE 621 621, DISTANCE: -1
NODE 622 622, DISTANCE: -1
NODE 623 623, DISTANCE: -1
NODE 624 624, DISTANCE: -1
NODE 625 625, DISTANCE: -1
NODE 626 626, DISTANCE: -1
NODE 627 627, DISTANCE: -1
NODE 628 628, DISTANCE: -1
NODE 629 629, DISTANCE: -1
NODE 630 630, DISTANCE: -1
NODE 631 631, DISTANCE: -1
NODE 632 632, DISTANCE: -1
NODE 633 633, DISTANCE: -1
NODE 634 634, DISTANCE: -1
NODE 635 635, DISTANCE: -1
NODE 636 636, DISTANCE: -1
NODE 637 637, DISTANCE: -1
NODE 638 638, DISTANCE: -1
NODE 639 639, DISTANCE: -1
NODE 640 640, DISTANCE: -1
NODE 641 641, DISTANCE: -1
NODE 642 642, DISTANCE: -1
NODE 643 643, DISTANCE: -1
NODE 644 644, DISTANCE: -1
NODE 645 645, DISTANCE: -1
NODE 646 646, DISTANCE: -1
NODE 647 647, DISTANCE: -1
NODE 648 648, DISTANCE: -1
NODE 649 649, DISTANCE: -1
NODE 650 650, DISTANCE: -1
NODE 651 651, DISTANCE: -1
NODE 652 652, DISTANCE: -1
NODE 653 653, DISTANCE: -1
NODE 654 654, DISTANCE: -1
NODE 655 655, DISTANCE: -1
NODE 656 656, DISTANCE: -1
NODE 657 657, DISTANCE: -1
NODE 658 658, DISTANCE: -1
NODE 659 659, DISTANCE: -1
NODE 660 660, DISTANCE: -1
NODE 661 661, DISTANCE: -1
NODE 662 662, DISTANCE: -1
NODE 663 663, DISTANCE: -1
NODE 664 664, DISTANCE: -1
NODE 665 665, DISTANCE: -1
NODE 666 666, DISTANCE: -1
NODE 667 667, DISTANCE: -1
NODE 668 668, DISTANCE: -1
NODE 669 669, DISTANCE: -1
NODE 670 670, DISTANCE: -1
NODE 671 671, DISTANCE: -1
NODE 672 672, DISTANCE: -1
NODE 673 673, DISTANCE: -1
NODE 674 674, DISTANCE: -1
NODE 675 675, DISTANCE: -1
NODE 676 676, DISTANCE: -1
NODE 677 677, DISTANCE: -1
NODE 678 678, DISTANCE: -1
NODE 679 679, DISTANCE: -1
NODE 680 680, DISTANCE: -1
